Headline,Source,Category,Scraped_At
India's cash transfer boom gives relief to the poor but strains budgets,BBC,Tech,2026-06-19 14:10:22
Moscow residents complain of black rain after largest Ukrainian attack hits oil refinery,BBC,Tech,2026-06-19 14:10:22
Iran to lodge complaint over travel restrictions,BBC,Tech,2026-06-19 14:10:22
Will Putin change tactics after Ukrainian drone attacks?,BBC,Tech,2026-06-19 14:10:22
Parents of Serbia's teenage school shooter given jail terms in retrial,BBC,Tech,2026-06-19 14:10:22
US and Iranian presidents sign deal aiming to end war,BBC,Tech,2026-06-19 14:10:22
